,name,trimmed_name
4251,digi international inc.,digi international
4252,fleetmatics group plc,fleetmatics group pl
4253,oncure holdings inc,oncure holdings
4254,pacwest bancorp,pacwest ban
4255,oxus acquisition corp.,oxus acquisition
4256,focus impact acquisition corp.,focus impact acquisition
4258,"dril-quip, inc.",dril-quip
4259,karyopharm therapeutics inc.,karyopharm therapeutics
4260,"seaworld entertainment, inc.",seaworld entertainment
4261,"ms young adventure enterprise, inc.",ms young adventure enterprise
4262,"ournett holdings, inc.",ournett holdings
4263,sheridan group inc,sheridan group
4264,"cannagistics, inc.",cannagistics
4265,ch energy group inc,ch energy group
4266,"cns pharmaceuticals, inc.",cns pharmaceuticals
4267,keystar corp.,keystar
4268,genon americas generation llc,genon americas generation
4269,"ridgewood energy o fund, llc",ridgewood energy o fund
4270,chord energy corporation,chord energy
4271,"mike the pike productions, inc.",mike the pike productions
4272,"manasota group, inc.",manasota group
4273,"dts8 coffee company, ltd.",dts8 coffee company
4274,"select interior concepts, inc.",select interior concepts
4275,npc international inc,npc international
4276,arrival,arrival
4278,kanzhun limited,kanzhun limited
4279,soltera mining corp.,soltera mining
4280,kaeland resources corp,kaeland resources
4281,"avant diagnostics, inc",avant diagnostics
4282,"evolutionary genomics, inc.",evolutionary genomics
4283,"iddriven, inc.",iddriven
4284,"grogenesis, inc.",grogenesis
4285,global acquisitions corporation,global acquisitions
4286,foley trasimene acquisition ii,foley trasimene acquisition ii
4287,"maxcyte, inc.",maxcyte
4288,temir corp.,temir
4289,first data corp,first data
4290,exactech inc,exactech
4292,aercap holdings n.v.,aercap holdings n.v.
4293,"lg display co., ltd.",lg display co.
4294,fuller h b co,fuller h b
4295,cpi card group inc.,cpi card group
4296,dawson geophysical company,dawson geophysical company
4297,aib acquisition corp,aib acquisition
4298,"csw industrials, inc.",csw industrials
4299,caesars acquisition co,caesars acquisition
4300,"tesaro, inc.",tesaro
4301,"norris industries, inc.",norris industries
4303,"levelblox, inc.",levelblox
4304,perception capital corp. ii,perception capital corp. ii
4305,berkshire bancorp inc /de/,berkshire bancorp inc /de/
4306,skookum safety solutions corp.,skookum safety solutions
4307,graham alternative investment fund ii llc,graham alternative investment fund ii
4308,"oclaro, inc.",oclaro
4309,stewardship financial corp,stewardship financial
4310,tantech holdings ltd,tantech holdings
4311,ancestry.com inc.,ancestry.com
4312,"new leaf brands, inc.",new leaf brands
4313,"inspiremd, inc.",inspiremd
4314,dell inc,dell
4315,w2007 grace acquisition i inc,w2007 grace acquisition i
4317,information services group inc.,information services group
4318,social leverage acquisition corp i,social leverage acquisition corp i
4320,qudian inc.,qudian
4321,virtu itg holdings llc,virtu itg holdings
4322,addentax group corp.,addentax group
4324,"ami james brands, inc.",ami james brands
4325,ranpak holdings corp.,ranpak holdings
4326,verizon communications inc.,verizon communications
4327,radcom ltd.,radcom
4328,city national bancshares corp,city national bancshares
4329,international game technology,international game technology
4330,triangle petroleum corp,triangle petroleum
4331,mercantile bank corporation,mercantile bank
4332,lka gold inc /de/,lka gold inc /de/
4333,the toro company,the toro company
4334,boston capital tax credit fund ltd partnership,boston capital tax credit fund ltd partnership
4335,camden property trust,camden property trust
4336,"plandai biotechnology, inc.",plandai biotechnology
4337,harris preferred capital corp,harris preferred capital
4338,fortive corporation,fortive
4339,"that marketing solution, inc.",that marketing solution
4340,"notis global, inc.",notis global
4341,mantech international corporation,mantech international
4342,electric tractor corp.,electric tractor
4343,"specificity, inc.",specificity
4344,schwab charles corp,schwab charles
4345,vectivbio holding ag,vectivbio holding ag
4346,imperva inc,imperva
4347,"taronis technologies, inc.",taronis technologies
4348,"omega healthcare investors, inc.",omega healthcare investors
4349,"baidu, inc.",baidu
4350,"instructure holdings, inc.",instructure holdings
4351,cogo group inc.,cogo group
4352,"fs credit real estate income trust, inc.",fs credit real estate income trust
4353,"kaltura, inc.",kaltura
4354,"el pollo loco holdings, inc.",el pollo loco holdings
4355,sky harbour group corporation,sky harbour group
4356,"warrior met coal, inc.",warrior met coal
4357,rli corp,rli
4358,"lightyear network solutions, inc.",lightyear network solutions
4359,exar corp,exar
4360,"mitesco, inc.",mitesco
4361,iterum therapeutics plc,iterum therapeutics pl
4362,rich uncles real estate investment trust i,rich uncles real estate investment trust i
4363,chardan nextech acquisition 2 corp.,chardan nextech acquisition 2
4364,green hygienics holdings inc.,green hygienics holdings
4365,tigerlogic corp,tigerlogic
4366,diversified resources inc.,diversified resources
4367,"diligent capital holdings, inc.",diligent capital holdings
4368,globe specialty metals inc,globe specialty metals
4369,skeena resources limited,skeena resources limited
4370,capitalworks emerging markets acquisition corp,capitalworks emerging markets acquisition
4371,"energy xxi gulf coast, inc.",energy xxi gulf coast
4372,"evertec, inc.",evertec
4373,ogl holdings ltd.,ogl holdings
4374,"eternal speech, inc.",eternal speech
4375,infrastructure developments corp.,infrastructure developments
4376,roc energy acquisition corp.,roc energy acquisition
4377,"colambda technologies, inc.",colambda technologies
4378,pioneer natural resources co,pioneer natural resources
4379,"identiv, inc.",identiv
4380,franklin financial corp,franklin financial
4382,intelligent living inc.,intelligent living
4383,"aravive, inc.",aravive
4384,new providence acquisition corp. ii,new providence acquisition corp. ii
4385,"advanced biomedical technologies, inc.",advanced biomedical technologies
4386,"hibbett, inc.",hibbett
4387,timios national corp,timios national
4388,unicobe corp.,unicobe
4390,"msc industrial direct co., inc.",msc industrial direct co.
4391,"icon leasing fund twelve, llc",icon leasing fund twelve
4392,admiral financial corp.,admiral financial
4393,"fuelcell energy, inc.",fuelcell energy
4394,cambridge bancorp,cambridge ban
4395,ascendis pharma a/s,ascendis pharma a/s
4396,cyberark software ltd.,cyberark software
4397,aurora diagnostics holdings llc,aurora diagnostics holdings
4399,china education alliance inc.,china education alliance
4400,"coherent, inc.",coherent
4401,invesco db energy fund,invesco db energy fund
4402,newbridge bancorp,newbridge ban
4403,luminary acquisition corp,luminary acquisition
4404,"powerstorm holdings, inc.",powerstorm holdings
4405,"gold rock holdings, inc.",gold rock holdings
4406,hf foods group inc.,hf foods group
4407,buncombe inc,buncombe
4408,"interline brands, inc./de","interline brands, inc./de"
4409,potomac futures fund lp,potomac futures fund
4411,"wei pai electronic commerce co., ltd.",wei pai electronic commerce co.
4412,summer energy holdings inc,summer energy holdings
4413,medical action industries inc,medical action industries
4414,newell brands inc,newell brands
4416,"everquote, inc.",everquote
4417,"rhinebeck bancorp, inc.",rhinebeck bancorp
4418,transcat inc,transcat
4419,bright lights acquisition corp.,bright lights acquisition
4420,dialogic inc.,dialogic
4421,qiwi plc,qiwi pl
4422,acrongenomics inc,acrongenomics
4423,amerco,amer
4424,kaspien holdings inc.,kaspien holdings
4425,"china health industries holdings, inc.",china health industries holdings
4426,iasis healthcare llc,iasis healthcare
4427,havaya corp,havaya
4428,pan american goldfields ltd,pan american goldfields
4429,rochester medical corporation,rochester medical
4430,la jolla pharmaceutical company,la jolla pharmaceutical company
4431,cummins inc.,cummins
4432,sky digital stores corp.,sky digital stores
4433,"cyteir therapeutics, inc.",cyteir therapeutics
4434,tim hortons inc.,tim hortons
4435,cushman & wakefield plc,cushman & wakefield pl
4436,"relay therapeutics, inc.",relay therapeutics
4437,"d.r. horton, inc.",d.r. horton
4438,hometown bankshares corp,hometown bankshares
4439,bitauto holdings ltd,bitauto holdings
4440,curtiss-wright corporation,curtiss-wright
4441,"thunder bridge acquisition ii, ltd",thunder bridge acquisition ii
4442,timberland co,timberland
4443,beam global,beam global
4444,"inca global, inc",inca global
4445,"moderna, inc.",moderna
4446,tradeweb markets inc.,tradeweb markets
4447,"platinum studios, inc.",platinum studios
4448,jazz pharmaceuticals plc,jazz pharmaceuticals pl
4449,scorpio tankers inc.,scorpio tankers
4450,bragg gaming group inc.,bragg gaming group
4451,hawks acquisition corp,hawks acquisition
4452,"momentum biofuels, inc.",momentum biofuels
4453,pharmagreen biotech inc.,pharmagreen biotech
4454,lloyds bank plc,lloyds bank pl
4455,"black diamond therapeutics, inc.",black diamond therapeutics
4456,cryomass technologies inc.,cryomass technologies
4458,eos inc.,eos
4459,"u. s. premium beef, llc",u. s. premium beef
4460,kollagenx corp.,kollagenx
4461,lithium corporation,lithium
4462,ryanair holdings plc,ryanair holdings pl
4463,"ds services holdings, inc.",ds services holdings
4464,lease equity appreciation fund i lp,lease equity appreciation fund i
4465,"deep down, inc.",deep down
4466,syntel inc,syntel
4467,"ambac financial group, inc.",ambac financial group
4468,bausch & lomb corp,bausch & lomb
4469,"computer task group, incorporated","computer task group, incorporated"
4470,zevia pbc,zevia pb
4471,cybermesh international corp.,cybermesh international
4472,warner music group corp.,warner music group
4473,continental energy corp,continental energy
4474,"careview communications, inc.",careview communications
4476,buildablock corp.,buildablock
4477,"hortonworks, inc.",hortonworks
4478,wallbox n.v.,wallbox n.v.
4479,silverado gold mines ltd,silverado gold mines
4480,china vtv ltd,china vtv
4481,"petlife pharmaceuticals, inc.",petlife pharmaceuticals
4482,"trophy hunting unlimited, inc.",trophy hunting unlimited
4483,bucyrus international inc,bucyrus international
4484,skydeck acquisition corp.,skydeck acquisition
4485,"summit financial group, inc.",summit financial group
4486,invesco currencyshares swedish krona trust,invesco currencyshares swedish krona trust
4487,fortium holdings corp.,fortium holdings
4488,centerpoint energy houston electric llc,centerpoint energy houston electric
4489,onion global ltd,onion global
4490,"pura naturals, inc.",pura naturals
4491,"dermata therapeutics, inc.",dermata therapeutics
4492,"westell technologies, inc.",westell technologies
4493,united bancshares inc /pa,united bancshares inc /pa
4494,"host hotels & resorts, inc.",host hotels & resorts
4495,alp liquidating trust,alp liquidating trust
4497,union acquisition corp.,union acquisition
4498,occidental petroleum corporation,occidental petroleum
4499,"tribus enterprises, inc.",tribus enterprises
4500,monar international inc.,monar international
4501,mana capital acquisition corp.,mana capital acquisition
4502,"mymd pharmaceuticals, inc.",mymd pharmaceuticals
4503,kolasco corp,kolasco
4505,"elite energies, inc.",elite energies
4506,parkway acquisition corp.,parkway acquisition
4507,plasma innovative inc.,plasma innovative
4508,glenrose instruments inc.,glenrose instruments
4509,"heelys, inc.",heelys
4510,"its burger time restaurant group, inc.",its burger time restaurant group
4512,invesco mortgage capital inc.,invesco mortgage capital
4513,arrowroot acquisition corp.,arrowroot acquisition
4514,ladder capital finance holdings lllp,ladder capital finance holdings ll
4515,antero resources finance corp,antero resources finance
4516,"pimi agro cleantech, inc.",pimi agro cleantech
4517,finwise bancorp,finwise ban
4518,"agr tools, inc.",agr tools
4519,"sound point acquisition corp i, ltd",sound point acquisition corp i
4520,tkb critical technologies 1,tkb critical technologies 1
4521,"neurotrope, inc.",neurotrope
4522,"rave restaurant group, inc.",rave restaurant group
4523,"avra medical robotics, inc",avra medical robotics
4524,ablynx nv,ablynx nv
4525,unex holdings inc.,unex holdings
4526,"douglas emmett, inc.",douglas emmett
4527,icon income fund nine llc,icon income fund nine
4528,"banco santander mexico s.a., institucion de banca multiple, grupo financiero santander mexico","banco santander mexico s.a., institucion de banca multiple, grupo financiero santander mexi"
4529,bioceres crop solutions corp.,bioceres crop solutions
4530,kongzhong corp,kongzhong
4532,neogenix oncology inc,neogenix oncology
4533,"patterson companies, inc.",patterson companies
4534,ieh corporation,ieh
4535,rand worldwide inc,rand worldwide
4536,u s physical therapy inc /nv,u s physical therapy inc /nv
4537,"china sxt pharmaceuticals, inc.",china sxt pharmaceuticals
4538,yintech investment holdings ltd,yintech investment holdings
4539,"sci engineered materials, inc.",sci engineered materials
4540,sjw group,sjw group
4541,"marpai, inc.",marpai
4542,lightbridge corporation,lightbridge
4543,"endurance exploration group, inc.",endurance exploration group
4544,longeveron inc.,longeveron
4545,"match group holdings ii, llc",match group holdings ii
4547,"shopeye, inc.",shopeye
4548,"pgt innovations, inc.",pgt innovations
4549,"presidio, inc.",presidio
4550,"varonis systems, inc.",varonis systems
4551,"red giant entertainment, inc.",red giant entertainment
4552,"dr. tattoff, inc.",dr. tattoff
4553,innovage holding corp,innovage holding
4554,"highwoods properties, inc.",highwoods properties
4555,"high wire networks, inc.",high wire networks
4556,"content checked holdings, inc.",content checked holdings
4557,"emerald oil, inc.",emerald oil
4558,dc brands international inc,dc brands international
4559,sprott inc.,sprott
4560,"prometheus biosciences, inc.",prometheus biosciences
4561,beamz interactive inc,beamz interactive
4563,"telkonet, inc.",telkonet
4564,liberty broadband corporation,liberty broadband
4565,"core molding technologies, inc.",core molding technologies
4567,"atel 14, llc",atel 14
4568,sri surgical express inc,sri surgical express
4569,cvd equipment corp,cvd equipment
4570,"advanced container technologies, inc.",advanced container technologies
4571,"reynaldo’s mexican food company, inc.",reynaldo’s mexican food company
4572,"simulations plus, inc.",simulations plus
4573,pulaski financial corp,pulaski financial
4574,"dupont de nemours, inc.",dupont de nemours
4575,fifth wall acquisition corp. iii,fifth wall acquisition corp. iii
4577,azul sa,azul sa
4578,"cgs international, inc.",cgs international
4579,covia holdings corp,covia holdings
4580,"golub capital bdc, inc.",golub capital bdc
4581,dynamic ventures corp.,dynamic ventures
4582,national health partners inc,national health partners
4583,"sefe, inc.",sefe
4584,china distance education holdings ltd,china distance education holdings
4585,"magnite, inc.",magnite
4586,"hall tees, inc.",hall tees
4587,"p10 industries, inc.",p10 industries
4588,"epam systems, inc.",epam systems
4589,"dynaresource, inc.",dynaresource
4590,"knight capital group, inc.",knight capital group
4591,"pdc energy, inc.",pdc energy
4593,kennametal inc.,kennametal
4594,"green bancorp, inc.",green bancorp
4595,"the boston beer company, inc.",the boston beer company
4596,"shift technologies, inc.",shift technologies
4597,fanhua inc.,fanhua
4598,seabridge gold inc,seabridge gold
4599,"netapp, inc.",netapp
4600,"equisource hotel fund i, llp","equisource hotel fund i, l"
4601,trecora resources,trecora resources
4603,versabank,versabank
4604,sport stix inc.,sport stix
4605,south hertfordshire united kingdom fund ltd,south hertfordshire united kingdom fund
4606,rio tinto plc,rio tinto pl
4607,"tristate capital holdings, inc.",tristate capital holdings
4608,carrier global corporation,carrier global
4609,"aots 30, inc.",aots 30
4610,embrace change acquisition corp.,embrace change acquisition
4611,"shopoff properties trust, inc.",shopoff properties trust
4612,emx royalty corporation,emx royalty
4613,"big lots, inc.",big lots
4615,rait financial trust,rait financial trust
4616,canadian natural resources limited,canadian natural resources limited
4617,alexza pharmaceuticals inc.,alexza pharmaceuticals
4618,entera bio ltd.,entera bio
4619,nokia corp,nokia
4620,avient corporation,avient
4621,annona energy inc.,annona energy
4622,bloom energy corp,bloom energy
4623,"exergetic energy, inc.",exergetic energy
4624,"conformis, inc.",conformis
4625,twist bioscience corporation,twist bioscience
4626,american electric power co inc.,american electric power co
4627,cib marine bancshares inc,cib marine bancshares
4628,"genprex, inc.",genprex
4629,reshape lifesciences inc.,reshape lifesciences
4630,"paradigm holdings, inc",paradigm holdings
4631,"ambicom holdings, inc",ambicom holdings
4632,"pineapple, inc.",pineapple
4633,tc pipelines lp,tc pipelines
4634,data knights acquisition corp.,data knights acquisition
4635,martin midstream partners l.p.,martin midstream partners
4636,"cnl growth properties, inc.",cnl growth properties
4637,trinity biotech plc,trinity biotech pl
4638,noodles & company,noodles & company
4639,environmental tectonics corp,environmental tectonics
4640,healthwell acquisition corp. i,healthwell acquisition corp. i
4641,core lithium corp.,core lithium
4642,archaea energy inc.,archaea energy
4643,biontech se,biontech se
4645,omnilit acquisition corp.,omnilit acquisition
4646,tronox holdings plc,tronox holdings pl
4647,"alpine 4 holdings, inc.",alpine 4 holdings
4648,"kennedy-wilson holdings, inc.",kennedy-wilson holdings
4649,stagwell inc,stagwell
4650,indonesia energy corporation limited,indonesia energy corporation limited
4651,"petros pharmaceuticals, inc.",petros pharmaceuticals
4652,"wally world media, inc.",wally world media
4653,st jude medical inc,st jude medical
4654,"cotiviti holdings, inc.",cotiviti holdings
4655,torm plc,torm pl
4656,"harmony biosciences holdings, inc.",harmony biosciences holdings
4657,"hcbf holding company, inc.",hcbf holding company
4658,spark networks inc,spark networks
4659,one 4 art limited,one 4 art limited
4660,"aep transmission company, llc",aep transmission company
4661,"black elk energy offshore operations, llc",black elk energy offshore operations
4662,agm group holdings inc.,agm group holdings
4663,"locan, inc.",locan
4664,allships ltd.,allships
4665,"vicapsys life sciences, inc.",vicapsys life sciences
4666,3sbio inc.,3sbio
4667,lennar corp /new/,lennar corp /new/
4668,cobra electronics corp,cobra electronics
4669,ayr wellness inc.,ayr wellness
4670,cepheid,cepheid
4672,smartpros ltd.,smartpros
4673,"global indemnity group, llc",global indemnity group
4674,power of the dream ventures inc,power of the dream ventures
4675,novocure limited,novocure limited
4676,cemex sab de cv,cemex sab de cv
4677,"zero gravity solutions, inc.",zero gravity solutions
4678,studio ii brands inc,studio ii brands
4680,"dine brands global, inc.",dine brands global
4681,"meritor, inc.",meritor
4682,"china customer relations centers, inc.",china customer relations centers
4683,immucor inc,immucor
4684,"mid penn bancorp, inc.",mid penn bancorp
4685,"fact, inc",fact
4686,"united states gasoline fund, lp",united states gasoline fund
4687,dream homes & development corporation,dream homes & development
4688,seqll inc.,seqll
4689,grayscale® horizen trust (zen),grayscale® horizen trust (zen)
4690,"interactive brokers group, inc.",interactive brokers group
4691,anheuser-busch inbev sa/nv,anheuser-busch inbev sa/nv
4692,associated estates realty corp,associated estates realty
4693,"amreit, inc.",amreit
4694,stationdigital corp,stationdigital
4695,granite point mortgage trust inc.,granite point mortgage trust
4696,tcv acquisition corp.,tcv acquisition
4697,"chipotle mexican grill, inc.",chipotle mexican grill
4699,first west virginia bancorp inc,first west virginia bancorp
4700,shengdatech liquidating trust,shengdatech liquidating trust
4701,"pathward financial, inc.",pathward financial
4702,"matson, inc.",matson
4703,radware ltd,radware
4704,vivus inc,vivus
4706,better choice company inc.,better choice company
4707,"global gard, inc.",global gard
4708,petsmart inc,petsmart
4709,huazhu group limited,huazhu group limited
4710,polaris inc.,polaris
4711,"puresafe water systems, inc.",puresafe water systems
4713,convenience tv inc.,convenience tv
4714,"unitek global services, inc.",unitek global services
4715,neenah inc,neenah
4716,mount rainier acquisition corp.,mount rainier acquisition
4717,southern michigan bancorp inc,southern michigan bancorp
4718,jiuzi holdings inc.,jiuzi holdings
4719,"eqm midstream partners, lp",eqm midstream partners
4720,"cra international, inc.",cra international
4721,continental materials corp,continental materials
4722,"tx holdings, inc.",tx holdings
4723,"mmrglobal, inc.",mmrglobal
4724,ralph lauren corporation,ralph lauren
4725,emcore corp,emcore
4727,rudolph technologies inc,rudolph technologies
4728,"shengkai innovations, inc.",shengkai innovations
4729,conexus cattle corp.,conexus cattle
4731,"lzg international, inc.",lzg international
4732,ptc inc.,ptc
4734,"kite pharma, inc.",kite pharma
4735,intrusion inc.,intrusion
4736,"novan, inc.",novan
4737,"elray resources, inc.",elray resources
4738,"avanir pharmaceuticals, inc.",avanir pharmaceuticals
4739,corecard corporation,corecard
4740,"synutra international, inc.",synutra international
4741,galectin therapeutics inc.,galectin therapeutics
4743,bymax corp.,bymax
4744,marshall & ilsley corp,marshall & ilsley
4745,"inventure foods, inc.",inventure foods
4747,kodiak sciences inc.,kodiak sciences
4748,"greenlight capital re, ltd.",greenlight capital re
4749,chindata group holdings limited,chindata group holdings limited
4750,china lithium technologies inc.,china lithium technologies
4751,curaxis pharmaceutical corp,curaxis pharmaceutical
4752,industrial technical holdings corporation,industrial technical holdings
4753,rbc bearings incorporated,rbc bearings incorporated
4754,3d total solutions inc.,3d total solutions
4756,shoulderup technology acquisition corp.,shoulderup technology acquisition
4757,"vantone international group, inc.",vantone international group
4758,invesco ltd.,invesco
4759,"provention bio, inc.",provention bio
4760,"altria group, inc.",altria group
4761,3d systems corporation,3d systems
4762,xtl biopharmaceuticals ltd.,xtl biopharmaceuticals
4763,bioventus inc.,bioventus
4764,"piedmont mining company, inc.",piedmont mining company
4765,"amarantus bioscience holdings, inc.",amarantus bioscience holdings
4766,acm corp,acm
4767,texas pacific land trust,texas pacific land trust
4768,"qs energy, inc.",qs energy
4769,united bancorporation of alabama inc,united bancorporation of alabama
4770,"doximity, inc.",doximity
4771,"laporte bancorp, inc.",laporte bancorp
4772,sterling bancorp,sterling ban
4773,lca vision inc,lca vision
4775,us xpress enterprises inc,us xpress enterprises
4776,"healthcare solutions management group, inc.",healthcare solutions management group
4777,tn-k energy group inc.,tn-k energy group
4778,vascular biogenics ltd.,vascular biogenics
4779,"helix energy solutions group, inc.",helix energy solutions group
4780,cn dragon corp,cn dragon
4781,"accel liquid gels, inc.",accel liquid gels
4782,"galaxy next generation, inc.",galaxy next generation
4784,ppl energy supply llc,ppl energy supply
4785,general electric company,general electric company
4786,mimecast limited,mimecast limited
4787,mattersight corp,mattersight
4788,"agiliti, inc. \de","agiliti, inc. \de"
4789,costa inc,costa
4790,blue ocean acquisition corp,blue ocean acquisition
4791,"beazer homes usa, inc.",beazer homes usa
4792,vca inc,vca
4793,"east west bancorp, inc.",east west bancorp
4796,arvana inc.,arvana
4797,"american axle & manufacturing holdings, inc",american axle & manufacturing holdings
4798,oncomed pharmaceuticals inc,oncomed pharmaceuticals
4800,federal home loan bank of chicago,federal home loan bank of chicago
4801,southwest airlines co.,southwest airlines
4802,"ikena oncology, inc.",ikena oncology
4803,"leap therapeutics, inc.",leap therapeutics
4804,orckit communications ltd,orckit communications
4805,"silk road medical, inc.",silk road medical
4806,ido security inc.,ido security
4807,novelion therapeutics inc.,novelion therapeutics
4808,drdgold limited,drdgold limited
4809,"marina district finance company, inc.",marina district finance company
4810,"cyberfort software, inc.",cyberfort software
4811,paccar financial corp,paccar financial
4812,"headstart holdings, inc.",headstart holdings
4813,somerset hills bancorp,somerset hills ban
4814,"nike, inc.",nike
4815,grupo tmm sab,grupo tmm sab
4816,linux gold corp,linux gold
4817,advanced photonix inc,advanced photonix
4818,m&f bancorp inc /nc/,m&f bancorp inc /nc/
4819,altamira therapeutics ltd.,altamira therapeutics
4820,"crimson wine group, ltd.",crimson wine group
4821,security federal corporation,security federal
4822,"sorrento tech, inc.",sorrento tech
4823,competitive companies inc,competitive companies
4824,stratasys ltd.,stratasys
4825,wireco worldgroup inc.,wireco worldgroup
4826,cpi corp,cpi
4827,"inogen, inc.",inogen
4828,natural resource partners lp,natural resource partners
4829,"weave communications, inc.",weave communications
4830,american housing reit inc.,american housing reit
4831,chase packaging corporation,chase packaging
4832,"pro-dex, inc.",pro-dex
4833,"mobetize, corp.",mobetize
4834,ryerson holding corporation,ryerson holding
4836,sun life financial inc.,sun life financial
4838,silvergate capital corporation,silvergate capital
4839,"wisa technologies, inc.",wisa technologies
4840,amtd idea group,amtd idea group
4841,roi acquisition corp. ii,roi acquisition corp. ii
4842,infitech ventures inc,infitech ventures
4843,glatfelter corporation,glatfelter
4845,tiaa real estate account,tiaa real estate account
4846,"cartesian, inc.",cartesian
4847,"hanover insurance group, inc.",hanover insurance group
4849,"amphastar pharmaceuticals, inc.",amphastar pharmaceuticals
4850,"pdl biopharma, inc.",pdl biopharma
4851,"equillium, inc.",equillium
4852,"shiftpixy, inc.",shiftpixy
4854,frontier funds,frontier funds
4855,healthcare business resources inc.,healthcare business resources
4857,mdu communications international inc,mdu communications international
4858,celcuity inc.,celcuity
4859,"coupang, inc.",coupang
4860,atrion corporation,atrion
4861,mission advancement corp.,mission advancement
4862,"strategic realty trust, inc.",strategic realty trust
4863,nunzia pharmaceutical company,nunzia pharmaceutical company
4865,xoom corp,xoom
4866,central bancorp inc /ma/,central bancorp inc /ma/
4867,"jones lang lasalle income property trust, inc.",jones lang lasalle income property trust
4868,urovant sciences ltd.,urovant sciences
4869,marcus corp,marcus
4871,applovin corporation,applovin
4872,novellus systems inc,novellus systems
4873,ares real estate income trust inc.,ares real estate income trust
4875,levi strauss & co,levi strauss &
4876,ideal power inc.,ideal power
4877,etc m-a acquisition llc,etc m-a acquisition
4878,chinacast education corp,chinacast education
4879,everest consolidator acquisition corporation,everest consolidator acquisition
4880,"motorola mobility holdings, inc",motorola mobility holdings
4881,"complete production services, inc.",complete production services
4882,apex global brands inc.,apex global brands
4883,vidaroo corp,vidaroo
4884,dirtt environmental solutions ltd,dirtt environmental solutions
4885,"zoom video communications, inc.",zoom video communications
4888,viacom inc.,viacom
4889,newhold investment corp. ii,newhold investment corp. ii
4890,neff corp,neff
4891,adamant dri processing and minerals group,adamant dri processing and minerals group
4892,"orange county bancorp, inc.",orange county bancorp
4893,"wholehealth products, inc.",wholehealth products
4894,aquantia corp,aquantia
4895,axios sustainable growth acquisition corporation,axios sustainable growth acquisition
4896,"cape bancorp, inc.",cape bancorp
4897,todays alternative energy corp,todays alternative energy
4898,zentek ltd.,zentek
4899,mediacom llc,mediacom
4901,anvia holdings corp,anvia holdings
4902,carvana co.,carvana
4903,"us ecology holdings, inc.",us ecology holdings
4904,stonex group inc.,stonex group
4905,dna brands inc,dna brands
4906,"scripps networks interactive, inc.",scripps networks interactive
4907,tuesday morning corp/de,tuesday morning corp/de
4908,"berkeley lights, inc.",berkeley lights
4909,bleuacacia ltd,bleuacacia
4910,altair international corp.,altair international
4911,allied healthcare international inc,allied healthcare international
4912,"fidelity national financial, inc.",fidelity national financial
4913,revelstone capital acquisition corp.,revelstone capital acquisition
4914,social capital suvretta holdings corp. i,social capital suvretta holdings corp. i
4915,capsalus corp,capsalus
4916,"uplift nutrition, inc.",uplift nutrition
4917,"china precision steel, inc.",china precision steel
4918,sirius xm holdings inc.,sirius xm holdings
4919,"delta air lines, inc.",delta air lines
4920,lake sunapee bank group,lake sunapee bank group
4921,"duo world, inc.",duo world
4922,meadowbrook insurance group inc,meadowbrook insurance group
4923,southport acquisition corporation,southport acquisition
4924,"epl oil & gas, inc.",epl oil & gas
4925,"suntech power holdings co., ltd.",suntech power holdings co.
4926,"kbs growth & income reit, inc.",kbs growth & income reit
4927,zimvie inc.,zimvie
4928,"chelsea therapeutics international, ltd.",chelsea therapeutics international
4929,focus gold corp,focus gold
4930,"insight enterprises, inc.",insight enterprises
4931,byte acquisition corp.,byte acquisition
4932,broadcom ltd,broadcom
4933,dollar general corporation,dollar general
4934,"esports entertainment group, inc.",esports entertainment group
4935,bi-optic ventures inc,bi-optic ventures
4936,sleepaid holding co.,sleepaid holding
4937,perrigo co,perrigo
4938,hutchmed (china) limited,hutchmed (china) limited
4939,esterline technologies corp,esterline technologies
4941,5v inc.,5v
4942,fab universal corp.,fab universal
4943,"juniper industrial holdings, inc.",juniper industrial holdings
4944,"buckeye partners, l.p.",buckeye partners
4945,geopetro resources co,geopetro resources
4946,american airlines group inc.,american airlines group
4948,"aquabounty technologies, inc.",aquabounty technologies
4949,direxion shares etf trust ii,direxion shares etf trust ii
4950,pinnacle foods finance llc,pinnacle foods finance
4951,"c3.ai, inc.",c3.ai
4952,"choiceone financial services, inc.",choiceone financial services
4953,"travelers companies, inc.",travelers companies
4954,insignia systems inc/mn.,insignia systems inc/mn.
4955,speedemissions inc,speedemissions
4956,greenpro capital corp.,greenpro capital
4957,"linnco, llc",linnco
4958,chee corp.,chee
4959,"mentor     capital, inc.",mentor     capital
4960,"freescale semiconductor, ltd.",freescale semiconductor
4961,"china daqing m&h petroleum, inc.",china daqing m&h petroleum
4962,berry plastics corp,berry plastics
4963,first reliance bancshares inc,first reliance bancshares
4964,cigna corp,cigna
4965,solarwinds corp,solarwinds
4966,protective life corp,protective life
4968,"silverton adventures, inc.",silverton adventures
4969,"troika media group, inc.",troika media group
4970,analysts international corp,analysts international
4971,brookdale senior living inc.,brookdale senior living
4972,arya sciences acquisition corp.,arya sciences acquisition
4973,american sands energy corp.,american sands energy
4974,verisign inc/ca,verisign inc/ca
4975,e-qure corp.,e-qure
4976,amcon distributing co,amcon distributing
4977,kadem sustainable impact corporation,kadem sustainable impact
4978,global diversified marketing group inc.,global diversified marketing group
4979,"pc connection, inc.",pc connection
4980,"alpine income property trust, inc.",alpine income property trust
4981,3forces inc.,3forces
